[12/May/2023:08:42:59 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/plugin/pipeline-stage-view/jsmodules/stageview.css" [Client 172.25.0.1] [Length 10066] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/job/test/"
[12/May/2023:08:42:59 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/images/svgs/go-up.svg" [Client 172.25.0.1] [Length 801] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/job/test/"
[12/May/2023:08:42:59 +0000] - 304 304 - GET http jenkins-dsk.local "/images/build-status/build-status-sprite.svg" [Client 172.25.0.1] [Length 0] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/job/test/"
[12/May/2023:08:42:59 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/images/svgs/go-down.svg" [Client 172.25.0.1] [Length 682] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/job/test/"
[12/May/2023:08:42:59 +0000] - 200 200 - GET http jenkins-dsk.local "/plugin/pipeline-stage-view/jsmodules/stageview.js" [Client 172.25.0.1] [Length 84662] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/job/test/"
[12/May/2023:08:42:59 +0000] - 200 200 - GET http jenkins-dsk.local "/job/test/wfapi/runs?fullStages=true&_=1683880979637" [Client 172.25.0.1] [Length 1723] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/job/test/"
[12/May/2023:08:43:04 +0000] - 200 200 - GET http jenkins-dsk.local "/job/test/configure" [Client 172.25.0.1] [Length 11778] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/job/test/"
[12/May/2023:08:43:04 +0000] - 200 200 - GET http jenkins-dsk.local "/adjuncts/3d816523/lib/form/textarea/textarea.css" [Client 172.25.0.1] [Length 100] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/job/test/configure"
[12/May/2023:08:43:04 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/jsbundles/section-to-sidebar-items.js" [Client 172.25.0.1] [Length 2016] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/job/test/configure"
[12/May/2023:08:43:04 +0000] - 200 200 - GET http jenkins-dsk.local "/adjuncts/3d816523/lib/form/filter-menu-button/filter-menu-button.js" [Client 172.25.0.1] [Length 747] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/job/test/configure"
