[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/icons/x32/sonatype-repository-icon-reverse.svg" [Client 172.25.0.1] [Length 1450] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/fonts/proxima-nova/ProximaNova-Sbold-webfont.woff2" [Client 172.25.0.1] [Length 20344] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/static/rapture/resources/fonts/proxima-nova/stylesheet.css"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/font-awesome/fonts/fa-solid-900.woff2" [Client 172.25.0.1] [Length 79100] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/static/rapture/resources/baseapp-prod_3.css?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/fonts/proxima-nova/ProximaNova-Reg-webfont.woff2" [Client 172.25.0.1] [Length 20256] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/static/rapture/resources/fonts/proxima-nova/stylesheet.css"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/images/loadmask/loading.gif" [Client 172.25.0.1] [Length 1849] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/static/rapture/resources/baseapp-prod_1.css?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/icons/x32/information.png?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 2112] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/fonts/proxima-nova/ProximaNova-Bold-webfont.woff2" [Client 172.25.0.1] [Length 20392] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/static/rapture/resources/fonts/proxima-nova/stylesheet.css"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/icons/x16/information.png?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 764] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/favicon.ico?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 3774] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/icons/x16/exclamation.png?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 732] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/icons/x32/exclamation.png?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 2009] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:49 +0000] - 200 200 - POST http nexus3.local "/service/extdirect" [Client 172.25.0.1] [Length 2660] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:49 +0000] - 200 200 - POST http nexus3.local "/service/extdirect" [Client 172.25.0.1] [Length 1976] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:49 +0000] - 200 200 - POST http nexus3.local "/service/extdirect" [Client 172.25.0.1] [Length 1976] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/icons/x16/sonatype.png?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 2017] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/icons/x32/sonatype.png?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 3268] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/icons/x32/sonatype.png" [Client 172.25.0.1] [Length 3268] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
